subject,rhythm,tone,freq,isMeterRel,amp_eeg,amp_coch
1,unsync,low,0.417,0,0.0535386390984058,9.53744636137792
2,unsync,low,0.417,0,0.0427226722240448,9.53744636137792
3,unsync,low,0.417,0,0.0805239900946617,9.53744636137792
4,unsync,low,0.417,0,0.088620662689209,9.53744636137792
5,unsync,low,0.417,0,0.0227666348218918,9.53744636137792
6,unsync,low,0.417,0,0.0798022523522377,9.53744636137792
7,unsync,low,0.417,0,0.0384630002081394,9.53744636137792
8,unsync,low,0.417,0,0.0960572734475136,9.53744636137792
9,unsync,low,0.417,0,0.0404627919197083,9.53744636137792
10,unsync,low,0.417,0,0.0895696058869362,9.53744636137792
11,unsync,low,0.417,0,0.0117460647597909,9.53744636137792
12,unsync,low,0.417,0,0.0306256860494614,9.53744636137792
13,unsync,low,0.417,0,0.0553821101784706,9.53744636137792
14,unsync,low,0.417,0,0.22023306787014,9.53744636137792
1,unsync,low,0.833,1,0.0134477820247412,11.0538319234243
2,unsync,low,0.833,1,0.0121321519836783,11.0538319234243
3,unsync,low,0.833,1,0.0301803797483444,11.0538319234243
4,unsync,low,0.833,1,-0.0436450280249119,11.0538319234243
5,unsync,low,0.833,1,0.0297569669783115,11.0538319234243
6,unsync,low,0.833,1,0.0549642965197563,11.0538319234243
7,unsync,low,0.833,1,0.0924187898635864,11.0538319234243
8,unsync,low,0.833,1,0.0122855827212334,11.0538319234243
9,unsync,low,0.833,1,0.0282550025731325,11.0538319234243
10,unsync,low,0.833,1,0.0305596385151148,11.0538319234243
11,unsync,low,0.833,1,0.01100436411798,11.0538319234243
12,unsync,low,0.833,1,0.0255170036107302,11.0538319234243
13,unsync,low,0.833,1,0.0504692792892456,11.0538319234243
14,unsync,low,0.833,1,0.0311536286026239,11.0538319234243
1,unsync,low,1.25,0,0.111724048852921,38.3554505323553
2,unsync,low,1.25,0,0.0768052041530609,38.3554505323553
3,unsync,low,1.25,0,0.0908954441547394,38.3554505323553
4,unsync,low,1.25,0,0.590539813041687,38.3554505323553
